dataset,method,parameters,change_points,time_ms
brent_spot,MicroWatch(idx=2),"{""max_dist_size"":19.0,""batch_size"":3.0,""threshold_ratio"":3.92701899,""new_dist_buffer_size"":10.0}",132;201,0.022
brent_spot,MicroWatch(idx=3),"{""threshold_ratio"":3.63913105,""max_dist_size"":26.0,""batch_size"":4.0,""new_dist_buffer_size"":11.0}",132;200,0.023
brent_spot,MicroWatch(idx=4),"{""batch_size"":4.0,""max_dist_size"":59.0,""threshold_ratio"":0.897043169,""new_dist_buffer_size"":49.0}",112;168;228;284;372,0.046
brent_spot,MicroWatch(idx=5),"{""new_dist_buffer_size"":31.0,""max_dist_size"":22.0,""threshold_ratio"":0.179403432,""batch_size"":5.0}",75;110;145;185;220;255;290;330;365,0.030
brent_spot,MicroWatch(idx=6),"{""max_dist_size"":47.0,""batch_size"":4.0,""threshold_ratio"":1.070024322,""new_dist_buffer_size"":36.0}",44;108;144;192;228;280;372,0.032
brent_spot,BOCPD,"alpha=0.001, beta=10, kappa=0.1, mu=10",220;221;222,8.889
brent_spot,CUSUM,"twarmup=45, plimit=0.5286127329037958",48;96;136;194;230;277;381;466,0.008
brent_spot,PELT,"penalty=8, jump=7, min_size=1",132;200;225;240;280;378;453;500,24.586
robocalls,MicroWatch(idx=0),"{""threshold_ratio"":2.295247891,""max_dist_size"":83.0,""batch_size"":5.0,""new_dist_buffer_size"":39.0}",,0.009
robocalls,MicroWatch(idx=1),"{""max_dist_size"":53.0,""new_dist_buffer_size"":3.0,""batch_size"":3.0,""threshold_ratio"":3.551455921}",3;9;36,0.009
robocalls,MicroWatch(idx=2),"{""threshold_ratio"":1.06948619,""new_dist_buffer_size"":3.0,""batch_size"":6.0,""max_dist_size"":79.0}",6;36,0.005
robocalls,MicroWatch(idx=3),"{""threshold_ratio"":2.901260681,""batch_size"":4.0,""max_dist_size"":18.0,""new_dist_buffer_size"":8.0}",8;36,0.005
robocalls,MicroWatch(idx=4),"{""new_dist_buffer_size"":6.0,""threshold_ratio"":2.398975871,""max_dist_size"":22.0,""batch_size"":3.0}",6;39,0.009
robocalls,MicroWatch(idx=5),"{""threshold_ratio"":2.619966533,""max_dist_size"":53.0,""batch_size"":3.0,""new_dist_buffer_size"":9.0}",9;36,0.009
robocalls,MicroWatch(idx=6),"{""batch_size"":5.0,""threshold_ratio"":0.227726614,""max_dist_size"":23.0,""new_dist_buffer_size"":39.0}",40,0.004
robocalls,BOCPD,"alpha=0.001, beta=0.001, kappa=0.5, mu=0",,0.101
robocalls,CUSUM,"twarmup=238, plimit=0.34212335905445085",38,0.001
robocalls,PELT,"penalty=1, jump=1, min_size=8",8;32;40;52,0.071
rail_lines,MicroWatch(idx=0),"{""threshold_ratio"":2.310421385,""new_dist_buffer_size"":11.0,""max_dist_size"":87.0,""batch_size"":6.0}",,0.007
rail_lines,MicroWatch(idx=1),"{""batch_size"":5.0,""threshold_ratio"":3.714126374,""max_dist_size"":34.0,""new_dist_buffer_size"":5.0}",5;25,0.005
rail_lines,MicroWatch(idx=2),"{""threshold_ratio"":2.172725087,""max_dist_size"":95.0,""new_dist_buffer_size"":5.0,""batch_size"":5.0}",5;25,0.004
rail_lines,MicroWatch(idx=3),"{""max_dist_size"":19.0,""new_dist_buffer_size"":5.0,""batch_size"":5.0,""threshold_ratio"":0.793160498}",5;25,0.004
rail_lines,MicroWatch(idx=4),"{""batch_size"":3.0,""new_dist_buffer_size"":8.0,""threshold_ratio"":0.515232182,""max_dist_size"":37.0}",9;24,0.006
rail_lines,MicroWatch(idx=5),"{""batch_size"":5.0,""new_dist_buffer_size"":5.0,""threshold_ratio"":0.957240129,""max_dist_size"":72.0}",25,0.006
rail_lines,MicroWatch(idx=6),"{""max_dist_size"":37.0,""batch_size"":5.0,""threshold_ratio"":1.21161539,""new_dist_buffer_size"":4.0}",5;25,0.004
rail_lines,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.053
rail_lines,CUSUM,"twarmup=278, plimit=0.6070900742029276",,0.001
