dataset,algorithm,f1,precision,recall,cover
gdp_iran,BOCPDMS_univ,0.5833333333333334,0.4117647058823529,1.0,0.5599686520376176
gdp_iran,BOCPDMS_multi,0.651685393258427,1.0,0.4833333333333334,0.582639714625446
gdp_japan,BOCPD,0.2857142857142857,0.16666666666666666,1.0,0.18620689655172415
gdp_japan,CUSUM,0.4,0.25,1.0,0.20344827586206896
gdp_japan,MicroWatch,1.0,1.0,1.0,0.7277951933124347
gdp_japan,PELT,0.3636363636363636,0.2222222222222222,1.0,0.19655172413793104
gdp_japan,BOCPDMS_univ,0.21052631578947367,0.11764705882352941,1.0,0.5
gdp_japan,BOCPDMS_multi,0.888888888888889,1.0,0.8,0.802140309155767
global_co2,BOCPD,0.4166666666666667,0.2631578947368421,1.0,0.28846153846153844
global_co2,CUSUM,0.5555555555555556,0.38461538461538464,1.0,0.225
global_co2,MicroWatch,0.45833333333333326,0.3333333333333333,0.7333333333333333,0.480752824428588
global_co2,PELT,0.5454545454545454,0.375,1.0,0.5404255319148936
global_co2,BOCPDMS_univ,0.08893956670467502,0.046875,0.8666666666666666,0.25358987654813425
global_co2,BOCPDMS_multi,0.846153846153846,1.0,0.7333333333333333,0.7583210059171598
homeruns,BOCPD,0.4444444444444445,0.2857142857142857,1.0,0.2402229674612526
homeruns,CUSUM,0.729946524064171,0.5833333333333334,0.975,0.30297073437708744
homeruns,MicroWatch,0.6916167664670658,0.75,0.6416666666666666,0.48547606141963306
homeruns,PELT,0.6399999999999999,0.47058823529411764,1.0,0.2238418079096045
homeruns,BOCPDMS_univ,0.2424242424242424,0.13793103448275862,1.0,0.3464704133214392
homeruns,BOCPDMS_multi,0.6592178770949719,1.0,0.4916666666666666,0.5107153116920425
iceland_tourism,BOCPD,0.09302325581395349,0.04878048780487805,1.0,0.08542713567839195
iceland_tourism,CUSUM,0.23529411764705882,0.13333333333333333,1.0,0.3165829145728643
iceland_tourism,MicroWatch,0.28125,0.16666666666666666,0.9,0.22412060301507536
iceland_tourism,PELT,0.11764705882352941,0.0625,1.0,0.0542713567839196
iceland_tourism,BOCPDMS_univ,0.0625,0.03225806451612903,1.0,0.1638190954773869
iceland_tourism,BOCPDMS_multi,0.9473684210526316,1.0,0.9,0.9460215651119921
jfk_passengers,BOCPD,0.03790412486064659,0.0196078431372549,0.5666666666666667,0.3358634165030782
jfk_passengers,CUSUM,0.33333333333333337,0.2,1.0,0.3717948717948718
jfk_passengers,MicroWatch,0.36144578313253006,0.23076923076923078,0.8333333333333333,0.16538461538461535
jfk_passengers,PELT,0.125,0.06666666666666667,1.0,0.03888888888888889
jfk_passengers,BOCPDMS_univ,0.11881188118811882,0.06315789473684211,1.0,0.12350427350427351
jfk_passengers,BOCPDMS_multi,0.7234042553191489,1.0,0.5666666666666667,0.6298433048433048
lga_passengers,BOCPD,0.23390752493200362,0.14285714285714285,0.645,0.28723766053608984
lga_passengers,CUSUM,0.3248945147679325,0.20588235294117646,0.77,0.2918229743807427
lga_passengers,MicroWatch,0.4702681694520016,0.38461538461538464,0.605,0.33191115647792263
lga_passengers,PELT,0.2758620689655173,0.16,1.0,0.07991452991452992
lga_passengers,BOCPDMS_univ,0.1077127659574468,0.057692307692307696,0.8099999999999999,0.1877211079570426
lga_passengers,BOCPDMS_multi,0.5347985347985348,1.0,0.365,0.3830283439257799
measles,BOCPD,0.05633802816901409,0.028985507246376812,1.0,0.7200807265388496
measles,CUSUM,0.03571428571428572,0.01818181818181818,1.0,0.029263370332996974
measles,MicroWatch,0.08653846153846154,0.045454545454545456,0.9,0.08839556004036327
measles,PELT,0.027027027027027025,0.0136986301369863,1.0,0.012714429868819373
measles,BOCPDMS_univ,0.005235602094240837,0.0026246719160104987,1.0,0.025227043390514632
measles,BOCPDMS_multi,0.9473684210526316,1.0,0.9,0.9511852891971232
nile,BOCPD,0.2222222222222222,0.125,1.0,0.196
nile,CUSUM,0.5,0.3333333333333333,1.0,0.53
nile,MicroWatch,0.8,0.6666666666666666,1.0,0.5025454545454545
nile,PELT,0.2857142857142857,0.16666666666666666,1.0,0.16999999999999998
nile,BOCPDMS_univ,0.1111111111111111,0.058823529411764705,1.0,0.45
nile,BOCPDMS_multi,0.8235294117647058,1.0,0.7,0.75808
occupancy,BOCPD,0.34077855775366944,1.0,0.20538461538461536,0.23562129218275363
occupancy,CUSUM,0.34077855775366944,1.0,0.20538461538461536,0.23562129218275363
occupancy,MicroWatch,0.34077855775366944,1.0,0.20538461538461536,0.23562129218275363
occupancy,PELT,0.34077855775366944,1.0,0.20538461538461536,0.23562129218275363
