dataset,algorithm,f1_score,precision_%,recall_%,covering_score,predicted_cps,true_cps
quality_control_1,MicroWatch(idx=2),14.29,8.33,50.0,17.25,11,5
quality_control_2,MicroWatch(idx=1),100.0,100.0,100.0,92.3,1,4
quality_control_2,MicroWatch(idx=4),100.0,100.0,100.0,92.23,1,4
quality_control_2,MicroWatch(idx=5),100.0,100.0,100.0,92.3,1,4
quality_control_2,MicroWatch(idx=6),100.0,100.0,100.0,92.3,1,4
quality_control_2,PELT,100.0,100.0,100.0,92.72,1,4
quality_control_2,BOCPD,94.74,100.0,90.0,90.78,1,4
quality_control_2,MicroWatch(idx=0),75.0,100.0,60.0,63.83,0,4
quality_control_2,MicroWatch(idx=3),75.0,100.0,60.0,63.83,0,4
quality_control_2,CUSUM,54.55,50.0,60.0,84.54,1,4
quality_control_2,MicroWatch(idx=2),23.08,14.29,60.0,27.99,6,4
quality_control_3,MicroWatch(idx=1),100.0,100.0,100.0,99.35,1,5
quality_control_3,MicroWatch(idx=5),100.0,100.0,100.0,99.35,1,5
quality_control_3,BOCPD,100.0,100.0,100.0,98.48,1,5
quality_control_3,PELT,100.0,100.0,100.0,99.67,1,5
quality_control_3,MicroWatch(idx=6),80.0,66.67,100.0,84.32,2,5
quality_control_3,MicroWatch(idx=0),66.67,100.0,50.0,50.03,0,5
quality_control_3,MicroWatch(idx=2),66.67,100.0,50.0,50.03,0,5
quality_control_3,MicroWatch(idx=3),50.0,50.0,50.0,47.69,1,5
quality_control_3,CUSUM,50.0,50.0,50.0,90.51,1,5
quality_control_3,MicroWatch(idx=4),28.12,16.67,90.0,19.67,11,5
quality_control_4,MicroWatch(idx=4),90.91,83.33,100.0,54.41,5,6
quality_control_4,MicroWatch(idx=0),78.05,100.0,64.0,67.27,0,6
quality_control_4,MicroWatch(idx=1),78.05,100.0,64.0,67.27,0,6
quality_control_4,MicroWatch(idx=3),78.05,100.0,64.0,67.27,0,6
quality_control_4,MicroWatch(idx=5),78.05,100.0,64.0,67.27,0,6
quality_control_4,BOCPD,78.05,100.0,64.0,67.27,0,6
