Dataset,Algorithm,Windows (ms),Ubuntu (ms),Raspberry Pi (ms)
measles,MicroWatch(idx=1),0.047,0.047,0.263
measles,MicroWatch(idx=2),0.049,0.055,0.343
measles,MicroWatch(idx=3),0.042,0.043,0.306
measles,MicroWatch(idx=4),0.061,0.066,0.428
measles,MicroWatch(idx=5),0.075,0.082,0.497
measles,MicroWatch(idx=6),0.035,0.039,0.236
measles,PELT,84.735,101.986,506.711
nile,BOCPD,0.339,0.408,3.174
nile,CUSUM,0.002,0.002,0.013
nile,MicroWatch(idx=0),0.021,0.011,0.067
nile,MicroWatch(idx=1),0.015,0.128,0.044
nile,MicroWatch(idx=2),0.013,0.012,0.066
nile,MicroWatch(idx=3),0.012,0.011,0.078
nile,MicroWatch(idx=4),0.027,0.027,0.166
nile,MicroWatch(idx=5),0.008,0.008,0.044
nile,MicroWatch(idx=6),0.007,0.008,0.039
nile,PELT,0.222,0.259,1.11
occupancy,MicroWatch(idx=0),0.029,0.035,0.231
occupancy,MicroWatch(idx=1),0.033,0.046,0.187
occupancy,MicroWatch(idx=2),0.045,0.051,0.286
occupancy,MicroWatch(idx=3),0.076,0.086,0.614
occupancy,MicroWatch(idx=4),0.101,0.111,0.735
occupancy,MicroWatch(idx=5),0.131,0.152,0.914
occupancy,MicroWatch(idx=6),0.069,0.076,0.414
occupancy,PELT,24.27,25.466,148.971
ozone,BOCPD,0.107,0.104,0.963
ozone,CUSUM,0.002,0.001,0.009
ozone,MicroWatch(idx=0),0.005,0.006,0.031
ozone,MicroWatch(idx=1),0.006,0.005,0.025
ozone,MicroWatch(idx=2),0.006,0.004,0.021
ozone,MicroWatch(idx=3),0.004,0.003,0.022
ozone,MicroWatch(idx=4),0.004,0.004,0.025
ozone,MicroWatch(idx=5),0.004,0.004,0.025
ozone,MicroWatch(idx=6),0.003,0.003,0.02
ozone,PELT,0.068,0.067,0.335
quality_control_1,BOCPD,3.481,3.711,30.481
quality_control_1,CUSUM,0.006,0.007,0.049
quality_control_1,MicroWatch(idx=0),0.013,0.013,0.085
quality_control_1,MicroWatch(idx=1),0.019,0.02,0.103
quality_control_1,MicroWatch(idx=2),0.018,0.02,0.117
quality_control_1,MicroWatch(idx=3),0.015,0.016,0.101
quality_control_1,MicroWatch(idx=4),0.06,0.141,0.415
quality_control_1,MicroWatch(idx=5),0.015,0.017,0.099
quality_control_1,MicroWatch(idx=6),0.013,0.014,0.08
quality_control_1,PELT,7.889,8.687,46.541
quality_control_2,BOCPD,2.647,2.923,24.96
quality_control_2,CUSUM,0.01,0.009,0.068
quality_control_2,MicroWatch(idx=0),0.026,0.025,0.143
quality_control_2,MicroWatch(idx=1),0.016,0.016,0.088
quality_control_2,MicroWatch(idx=2),0.017,0.018,0.097
quality_control_2,MicroWatch(idx=3),0.022,0.023,0.146
quality_control_2,MicroWatch(idx=4),0.02,0.021,0.121
quality_control_2,MicroWatch(idx=5),0.014,0.016,0.09
quality_control_2,MicroWatch(idx=6),0.017,0.019,0.104
quality_control_2,PELT,7.563,15.615,40.961
quality_control_3,BOCPD,4.272,4.873,41.324
quality_control_3,CUSUM,0.016,0.014,0.1
quality_control_3,MicroWatch(idx=0),0.027,0.028,0.171
quality_control_3,MicroWatch(idx=1),0.027,0.027,0.141
quality_control_3,MicroWatch(idx=2),0.029,0.031,0.195
quality_control_3,MicroWatch(idx=3),0.012,0.013,0.083
quality_control_3,MicroWatch(idx=4),0.036,0.034,0.203
quality_control_3,MicroWatch(idx=5),0.021,0.019,0.116
quality_control_3,MicroWatch(idx=6),0.017,0.014,0.087
quality_control_3,PELT,10.758,11.277,61.2
quality_control_4,BOCPD,9.038,10.21,76.653
quality_control_4,CUSUM,0.011,0.011,0.078
quality_control_4,MicroWatch(idx=0),0.033,0.036,0.213
quality_control_4,MicroWatch(idx=1),0.026,0.024,0.124
quality_control_4,MicroWatch(idx=2),0.021,0.021,0.12
quality_control_4,MicroWatch(idx=3),0.023,0.022,0.15
quality_control_4,MicroWatch(idx=4),0.051,0.051,0.296
quality_control_4,MicroWatch(idx=5),0.045,0.046,0.255
quality_control_4,MicroWatch(idx=6),0.024,0.023,0.13
quality_control_4,PELT,18.639,19.285,105.779
quality_control_5,BOCPD,3.53,4.428,32.784
quality_control_5,CUSUM,0.015,0.015,0.095
quality_control_5,MicroWatch(idx=0),0.044,0.075,0.255
quality_control_5,MicroWatch(idx=1),0.019,0.028,0.09
quality_control_5,MicroWatch(idx=2),0.023,0.04,0.137
quality_control_5,MicroWatch(idx=3),0.013,0.024,0.079
quality_control_5,MicroWatch(idx=4),0.02,0.03,0.101
quality_control_5,MicroWatch(idx=5),0.029,0.031,0.106
quality_control_5,MicroWatch(idx=6),0.013,0.02,0.068
quality_control_5,PELT,7.861,10.464,45.435
rail_lines,BOCPD,0.055,0.053,0.457
rail_lines,CUSUM,0.001,0.001,0.005
rail_lines,MicroWatch(idx=0),0.008,0.007,0.032
rail_lines,MicroWatch(idx=1),0.008,0.005,0.025
rail_lines,MicroWatch(idx=2),0.007,0.004,0.023
rail_lines,MicroWatch(idx=3),0.007,0.004,0.025
rail_lines,MicroWatch(idx=4),0.008,0.006,0.032
rail_lines,MicroWatch(idx=5),0.009,0.006,0.031
rail_lines,MicroWatch(idx=6),0.008,0.004,0.022
rail_lines,PELT,0.042,0.097,0.19
ratner_stock,BOCPD,12.286,13.571,109.447
ratner_stock,CUSUM,0.007,0.007,0.05
ratner_stock,MicroWatch(idx=0),0.026,0.027,0.184
ratner_stock,MicroWatch(idx=1),0.03,0.028,0.17
ratner_stock,MicroWatch(idx=2),0.028,0.03,0.213
ratner_stock,MicroWatch(idx=3),0.022,0.021,0.159
ratner_stock,MicroWatch(idx=4),0.027,0.027,0.186
ratner_stock,MicroWatch(idx=5),0.063,0.121,0.416
ratner_stock,MicroWatch(idx=6),0.066,0.138,0.404
ratner_stock,PELT,26.759,27.735,159.884
robocalls,BOCPD,0.092,0.101,0.869
robocalls,CUSUM,0.002,0.001,0.005
robocalls,MicroWatch(idx=0),0.008,0.009,0.044
robocalls,MicroWatch(idx=1),0.011,0.009,0.043
robocalls,MicroWatch(idx=2),0.008,0.005,0.029
robocalls,MicroWatch(idx=3),0.005,0.005,0.033
robocalls,MicroWatch(idx=4),0.009,0.009,0.055
robocalls,MicroWatch(idx=5),0.009,0.009,0.051
