dataset,method,parameters,change_points,time_ms
scanline_126007,MicroWatch(idx=5),"{""max_dist_size"":74.0,""new_dist_buffer_size"":11.0,""batch_size"":4.0,""threshold_ratio"":3.082583756}",292,0.315
scanline_126007,MicroWatch(idx=6),"{""max_dist_size"":13.0,""new_dist_buffer_size"":12.0,""threshold_ratio"":1.255096468,""batch_size"":6.0}",42;54;78;102;126;138;150;162;174;252;264;288;306;318;330;342;354;366;378;390,0.168
scanline_126007,BOCPD,"alpha=10, beta=10, kappa=0.5, mu=100",247,70.694
scanline_126007,CUSUM,"twarmup=279, plimit=0.8565453717188082",48;89;143;201;257;295;336;377;417;470,0.046
scanline_126007,PELT,"penalty=6, jump=1, min_size=1",163;251;265;280;292;307;376;403;481,112.567
bee_waggle_6,MicroWatch(idx=0),"{""batch_size"":4.0,""max_dist_size"":93.0,""threshold_ratio"":0.628242871,""new_dist_buffer_size"":49.0}",,0.339
bee_waggle_6,MicroWatch(idx=1),"{""batch_size"":5.0,""new_dist_buffer_size"":50.0,""max_dist_size"":34.0,""threshold_ratio"":2.141205214}",,0.136
bee_waggle_6,MicroWatch(idx=2),"{""batch_size"":6.0,""threshold_ratio"":3.719955787,""max_dist_size"":99.0,""new_dist_buffer_size"":40.0}",,0.208
bee_waggle_6,MicroWatch(idx=3),"{""max_dist_size"":54.0,""new_dist_buffer_size"":26.0,""threshold_ratio"":2.843846528,""batch_size"":3.0}",,0.317
bee_waggle_6,MicroWatch(idx=4),"{""batch_size"":5.0,""new_dist_buffer_size"":38.0,""max_dist_size"":30.0,""threshold_ratio"":0.81995813}",40;85;125;165;255;340;380;420;490;530;570,0.462
bee_waggle_6,MicroWatch(idx=5),"{""threshold_ratio"":0.875019289,""max_dist_size"":85.0,""batch_size"":5.0,""new_dist_buffer_size"":24.0}",25;270;425;575,0.969
bee_waggle_6,MicroWatch(idx=6),"{""threshold_ratio"":1.666112771,""batch_size"":4.0,""max_dist_size"":17.0,""new_dist_buffer_size"":33.0}",40;92;188;256;348,0.169
bee_waggle_6,PELT,"penalty=100, jump=1, min_size=1",609,157.292
nile,MicroWatch(idx=0),"{""new_dist_buffer_size"":21.0,""batch_size"":4.0,""max_dist_size"":45.0,""threshold_ratio"":0.998558568}",,0.067
nile,MicroWatch(idx=1),"{""threshold_ratio"":2.044955484,""max_dist_size"":26.0,""batch_size"":4.0,""new_dist_buffer_size"":16.0}",28,0.044
nile,MicroWatch(idx=2),"{""batch_size"":4.0,""new_dist_buffer_size"":14.0,""threshold_ratio"":2.797278577,""max_dist_size"":64.0}",,0.066
nile,MicroWatch(idx=3),"{""max_dist_size"":62.0,""batch_size"":4.0,""threshold_ratio"":1.942739307,""new_dist_buffer_size"":27.0}",,0.078
nile,MicroWatch(idx=4),"{""batch_size"":4.0,""max_dist_size"":89.0,""threshold_ratio"":3.265373245,""new_dist_buffer_size"":10.0}",28,0.166
nile,MicroWatch(idx=5),"{""new_dist_buffer_size"":23.0,""batch_size"":3.0,""threshold_ratio"":0.262743378,""max_dist_size"":26.0}",24,0.044
nile,MicroWatch(idx=6),"{""max_dist_size"":40.0,""batch_size"":4.0,""new_dist_buffer_size"":25.0,""threshold_ratio"":1.184525963}",28,0.039
nile,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,3.174
nile,CUSUM,"twarmup=121, plimit=0.1323502965647935",41,0.013
nile,PELT,"penalty=1, jump=2, min_size=9",27;100,1.110
usd_isk,MicroWatch(idx=0),"{""new_dist_buffer_size"":30.0,""max_dist_size"":60.0,""threshold_ratio"":0.993889287,""batch_size"":3.0}",30;117;246,0.207
usd_isk,MicroWatch(idx=1),"{""max_dist_size"":19.0,""new_dist_buffer_size"":25.0,""batch_size"":3.0,""threshold_ratio"":2.465336954}",33;117,0.071
usd_isk,MicroWatch(idx=2),"{""max_dist_size"":46.0,""threshold_ratio"":1.288671441,""batch_size"":3.0,""new_dist_buffer_size"":33.0}",69;114,0.130
usd_isk,MicroWatch(idx=3),"{""threshold_ratio"":2.219617646,""batch_size"":3.0,""new_dist_buffer_size"":27.0,""max_dist_size"":25.0}",33;117,0.078
usd_isk,MicroWatch(idx=4),"{""max_dist_size"":66.0,""new_dist_buffer_size"":32.0,""batch_size"":3.0,""threshold_ratio"":1.343401745}",33;117,0.291
usd_isk,MicroWatch(idx=5),"{""batch_size"":3.0,""max_dist_size"":50.0,""new_dist_buffer_size"":32.0,""threshold_ratio"":2.11266592}",72,0.157
usd_isk,MicroWatch(idx=6),"{""threshold_ratio"":2.10463233,""new_dist_buffer_size"":25.0,""batch_size"":3.0,""max_dist_size"":13.0}",33;117,0.067
usd_isk,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,19.039
usd_isk,CUSUM,"twarmup=167, plimit=0.13099419591541206",36;74;117;225,0.032
usd_isk,PELT,"penalty=20, jump=5, min_size=1",117;247,26.075
apple,MicroWatch(idx=0),"{""threshold_ratio"":0.125298284,""max_dist_size"":27.0,""new_dist_buffer_size"":4.0,""batch_size"":4.0}",,0.151
apple,MicroWatch(idx=1),"{""batch_size"":5.0,""new_dist_buffer_size"":20.0,""max_dist_size"":17.0,""threshold_ratio"":3.284828172}",130;200;230;275;320,0.121
apple,MicroWatch(idx=2),"{""batch_size"":3.0,""new_dist_buffer_size"":38.0,""threshold_ratio"":3.139910919,""max_dist_size"":21.0}",54,0.122
apple,MicroWatch(idx=3),"{""batch_size"":6.0,""threshold_ratio"":3.86760245,""max_dist_size"":51.0,""new_dist_buffer_size"":41.0}",,0.138
apple,MicroWatch(idx=4),"{""max_dist_size"":71.0,""threshold_ratio"":0.525455704,""new_dist_buffer_size"":37.0,""batch_size"":3.0}",48;318,0.677
apple,MicroWatch(idx=5),"{""max_dist_size"":86.0,""new_dist_buffer_size"":30.0,""threshold_ratio"":0.732082852,""batch_size"":6.0}",48;318,0.438
apple,MicroWatch(idx=6),"{""threshold_ratio"":1.105742671,""batch_size"":3.0,""new_dist_buffer_size"":20.0,""max_dist_size"":53.0}",24;54;318,0.265
apple,PELT,"penalty=5, jump=6, min_size=1",101;131;199;223;244;265;286;319;417;462;546;605;622,193.952
homeruns,MicroWatch(idx=0),"{""batch_size"":3.0,""new_dist_buffer_size"":15.0,""max_dist_size"":91.0,""threshold_ratio"":1.086319539}",,0.217
homeruns,MicroWatch(idx=1),"{""new_dist_buffer_size"":18.0,""max_dist_size"":55.0,""batch_size"":3.0,""threshold_ratio"":2.033442239}",18;60,0.116
homeruns,MicroWatch(idx=2),"{""new_dist_buffer_size"":15.0,""batch_size"":6.0,""threshold_ratio"":3.058227426,""max_dist_size"":25.0}",18;60,0.045
homeruns,MicroWatch(idx=3),"{""max_dist_size"":34.0,""new_dist_buffer_size"":5.0,""batch_size"":6.0,""threshold_ratio"":3.117818813}",18;78,0.068
homeruns,MicroWatch(idx=4),"{""batch_size"":3.0,""threshold_ratio"":3.895291224,""max_dist_size"":34.0,""new_dist_buffer_size"":4.0}",18;60;66,0.152
homeruns,MicroWatch(idx=5),"{""max_dist_size"":29.0,""batch_size"":3.0,""new_dist_buffer_size"":17.0,""threshold_ratio"":3.129749874}",18;60,0.079
homeruns,MicroWatch(idx=6),"{""batch_size"":6.0,""new_dist_buffer_size"":16.0,""threshold_ratio"":1.395013398,""max_dist_size"":13.0}",18;36;54;78;96;114,0.046
homeruns,BOCPD,"alpha=0.1, beta=0.5, kappa=0.1, mu=200",13;14;55,4.376
