dataset,algorithm,f1,precision,recall,cover
nile,PELT,1.0,1.0,1.0,0.8800821917808218
occupancy,MicroWatch(idx=0),0.34077855775366944,1.0,0.20538461538461536,0.23562129218275363
occupancy,MicroWatch(idx=1),0.9322200392927309,0.9285714285714286,0.9358974358974359,0.5269378753354644
occupancy,MicroWatch(idx=2),0.6427503736920778,0.625,0.6615384615384616,0.5896284230776824
occupancy,MicroWatch(idx=3),0.8189880020865937,0.8333333333333334,0.8051282051282052,0.5470062666077128
occupancy,MicroWatch(idx=4),0.9037245256500351,1.0,0.8243589743589744,0.6675006956842117
occupancy,MicroWatch(idx=5),0.7514910536779325,0.7777777777777778,0.7269230769230769,0.6092942652414775
occupancy,MicroWatch(idx=6),0.8993132046131916,0.9090909090909091,0.8897435897435898,0.5818102619007578
occupancy,PELT,0.6861265378789893,0.6428571428571429,0.7356410256410256,0.5143972687081126
ozone,MicroWatch(idx=0),0.7234042553191489,1.0,0.5666666666666667,0.5736625514403293
ozone,MicroWatch(idx=1),0.9655172413793104,1.0,0.9333333333333333,0.8518518518518519
ozone,MicroWatch(idx=2),0.9655172413793104,1.0,0.9333333333333333,0.8518518518518519
ozone,MicroWatch(idx=3),0.9655172413793104,1.0,0.9333333333333333,0.8518518518518519
ozone,MicroWatch(idx=4),0.9655172413793104,1.0,0.9333333333333333,0.8518518518518519
ozone,MicroWatch(idx=5),0.9655172413793104,1.0,0.9333333333333333,0.8518518518518519
ozone,MicroWatch(idx=6),0.9655172413793104,1.0,0.9333333333333333,0.8518518518518519
ozone,BOCPD,0.9655172413793104,1.0,0.9333333333333333,0.8282247765006385
ozone,CUSUM,0.53125,0.5,0.5666666666666667,0.5386831275720165
ozone,PELT,0.6666666666666666,0.5,1.0,0.3333333333333333
quality_control_1,MicroWatch(idx=0),0.6666666666666666,1.0,0.5,0.5031081260398699
quality_control_1,MicroWatch(idx=1),1.0,1.0,1.0,0.9961856952610209
quality_control_1,MicroWatch(idx=2),0.14285714285714285,0.08333333333333333,0.5,0.17252396166134185
quality_control_1,MicroWatch(idx=3),0.5,0.5,0.5,0.757330829913844
quality_control_1,MicroWatch(idx=4),1.0,1.0,1.0,0.9923669190051255
quality_control_1,MicroWatch(idx=5),0.8,0.6666666666666666,1.0,0.8878166006053693
quality_control_1,MicroWatch(idx=6),0.4,0.3333333333333333,0.5,0.7699680511182109
quality_control_1,BOCPD,1.0,1.0,1.0,0.9797607548852069
quality_control_1,CUSUM,0.28571428571428575,0.2,0.5,0.610223642172524
quality_control_1,PELT,1.0,1.0,1.0,0.9961856952610209
quality_control_2,MicroWatch(idx=0),0.7499999999999999,1.0,0.6,0.6382524441558766
quality_control_2,MicroWatch(idx=1),1.0,1.0,1.0,0.9230324445872149
quality_control_2,MicroWatch(idx=2),0.23076923076923073,0.14285714285714285,0.6,0.27985865724381626
quality_control_2,MicroWatch(idx=3),0.7499999999999999,1.0,0.6,0.6382524441558766
quality_control_2,MicroWatch(idx=4),1.0,1.0,1.0,0.9223181723701366
quality_control_2,MicroWatch(idx=5),1.0,1.0,1.0,0.9230324445872149
quality_control_2,MicroWatch(idx=6),1.0,1.0,1.0,0.9230324445872149
quality_control_2,BOCPD,0.9473684210526316,1.0,0.9,0.9077664124976753
quality_control_2,CUSUM,0.5454545454545454,0.5,0.6,0.8454252902574456
quality_control_2,PELT,1.0,1.0,1.0,0.9272274782476536
quality_control_3,MicroWatch(idx=0),0.6666666666666666,1.0,0.5,0.5002717310161545
quality_control_3,MicroWatch(idx=1),1.0,1.0,1.0,0.9934729811778993
quality_control_3,MicroWatch(idx=2),0.6666666666666666,1.0,0.5,0.5002717310161545
quality_control_3,MicroWatch(idx=3),0.5,0.5,0.5,0.47688171007748953
